date,price_eur_mw,exchange_rate,price_usd_mw
1/2/22,76.17,1.11,84.5487
2/2/22,77.35,1.11,85.8585
3/2/22,80.22,1.11,89.0442
4/2/22,82.65,1.11,91.7415
7/2/22,79.59,1.11,88.3449
8/2/22,77.3,1.11,85.803
9/2/22,74.42,1.11,82.6062
10/2/22,74.35,1.11,82.5285
11/2/22,77.43,1.11,85.9473
14/2/22,80.77,1.11,89.6547
15/2/22,70.92,1.11,78.7212
16/2/22,69.8,1.11,77.478
17/2/22,74.91,1.11,83.1501
18/2/22,73.76,1.11,81.8736
21/2/22,72.56,1.11,80.5416
22/2/22,79.79,1.11,88.5669
23/2/22,88.89,1.11,98.6679
24/2/22,134.32,1.11,149.0952
25/2/22,94.42,1.11,104.8062
28/2/22,98.59,1.11,109.4349
1/3/22,121.67,1.11,135.0537
2/3/22,165.54,1.11,183.7494