date,price_usd_mmbtu,exchange_rate,price_usd_barrel
1/2/22,4.57,5.56,25.4092
2/2/22,5.04,5.56,28.0224
3/2/22,4.72,5.56,26.2432
4/2/22,4.49,5.56,24.9644
7/2/22,4.19,5.56,23.2964
8/2/22,4.21,5.56,23.4076
9/2/22,3.98,5.56,22.1288
10/2/22,3.94,5.56,21.9064
11/2/22,3.93,5.56,21.8508
14/2/22,4.16,5.56,23.1296
15/2/22,4.24,5.56,23.5744
16/2/22,4.57,5.56,25.4092
17/2/22,4.43,5.56,24.6308
18/2/22,4.37,5.56,24.2972
21/2/22,4.43,5.56,24.6308
22/2/22,4.46,5.56,24.7976
23/2/22,4.59,5.56,25.5204
24/2/22,4.6,5.56,25.576
25/2/22,4.47,5.56,24.8532
28/2/22,4.4,5.56,24.464
1/3/22,4.57,5.56,25.4092
2/3/22,4.76,5.56,26.4656